"","FDR(proposed)","JI(proposed)","TPR(proposed)","SHD(proposed)"
"(H,C,n=1000)",0,1,1,0
"(H,C,n=500)",0,1,1,0
"(H,C,n=200)",0,1,1,0
"(H,D,n=1000)",0,1,1,0
"(H,D,n=500)",0,1,1,0
"(H,D,n=200)",0,1,1,0
"(R,C,n=1000)",0.0121032828282828,0.944358982683983,0.9524329004329,0.285
"(R,C,n=500)",0.0126382034632035,0.944976479076479,0.953220165945166,0.286
"(R,C,n=200)",0.0149740620490621,0.941642063492063,0.951671753246753,0.311
"(R,D,n=1000)",0.0122695526695527,0.944846645021645,0.953111435786436,0.285
"(R,D,n=500)",0.011883189033189,0.946648448773449,0.954801515151515,0.277
"(R,D,n=200)",0.0148859668109668,0.940122655122655,0.950149927849928,0.323
