"","Max abs diff(Direct)","Mean abs diff(Direct)","Mean sq diff(Direct)","Max abs diff(Proposed)","Mean abs diff(Proposed)","Mean sq diff(Proposed)"
"(H,C,n=500)",0.128167783303614,0.0244785284868616,0.0014202033643323,0.0610744285379256,0.018079025146643,0.000518272389175514
"(H,C,n=400)",0.131958742291141,0.0263708295468212,0.0015570911129025,0.0686293525429009,0.020366525403295,0.000655420937054315
"(H,C,n=300)",0.133948402301164,0.0287309888716551,0.00170787035233429,0.0792197796391039,0.0234659736073627,0.000873785390322716
"(H,D,n=500)",0.127695406370866,0.0243378317816717,0.00141154177040161,0.0611859196005636,0.0180258915782386,0.000513647572678822
"(H,D,n=400)",0.130405637861934,0.0262081937431725,0.0015306328277101,0.069324013114205,0.0203048285874376,0.000653525677798275
"(H,D,n=300)",0.133338122572225,0.0286675984938412,0.00169318361091867,0.0804574392066323,0.0235500022129024,0.000880588123685227
"(R,C,n=500)",0.0425429721414563,0.0179147633310938,0.000755770931100544,0.0283624437646255,0.0144461175235397,0.000340410895668119
"(R,C,n=400)",0.0439066302267675,0.0189918829248763,0.000786800990392972,0.0324485060972083,0.0165970533459968,0.000450686633452459
"(R,C,n=300)",0.0470901298625694,0.0214984385966954,0.000910651597901533,0.0376015960895815,0.0193902709506474,0.000607732282213558
"(R,D,n=500)",0.042872533036303,0.0180786580900574,0.000752758312550498,0.02910056613967,0.0150542532233584,0.000369012396603768
"(R,D,n=400)",0.0443209847304767,0.0196192404470066,0.000813017965148214,0.0327183135110166,0.0168606681546945,0.000455958724876988
"(R,D,n=300)",0.0475566173885382,0.0214551091493251,0.000938210609678246,0.0361863742449702,0.0187902732505705,0.000573367492777443
